"Chromosome"	"Start"	"End"	"MP"
"chr5"	31793965	31793966	9.4
"chr11"	126372709	126372710	95.3
"chr14"	105443306	105443307	96.6
"chr5"	718775	718776	53.4
"chr2"	134284617	134284618	96
"chr1"	1312473	1312474	96.4
"chr20"	19915070	19915071	45.2
"chr9"	85861564	85861565	96.5
"chr19"	4033935	4033936	95.5
"chr22"	32433584	32433585	92.4
"chr2"	78430133	78430134	2.9
"chr1"	28887196	28887197	3.4
"chr3"	133906712	133906713	94.9
"chr3"	123049712	123049713	45.7
"chr9"	113872801	113872802	67.5
"chr6"	11792535	11792536	96
"chr4"	190089398	190089399	82.3
"chr3"	53086475	53086476	95.6
"chr6"	55951077	55951078	64.1
"chr15"	57469426	57469427	95.3
"chr4"	6701406	6701407	95.3
"chr12"	50031719	50031720	82.7
"chr21"	40266236	40266237	94.3
"chr10"	7325687	7325688	96
"chr2"	63257690	63257691	86.3
"chr20"	6646846	6646847	95.6
"chr8"	40258288	40258289	92.4
"chr11"	119373155	119373156	96.9
"chr1"	31260689	31260690	96.4
"chr2"	199459475	199459476	3.2
"chr8"	123448480	123448481	96.4
"chr2"	138872199	138872200	93.7
"chrX"	123602772	123602773	96.8
"chr10"	21241710	21241711	96.2
"chr7"	141073997	141073998	3
"chr19"	37687732	37687733	96.7
"chr13"	38939357	38939358	48.7
"chr8"	75072185	75072186	96
"chr2"	49031293	49031294	92.8
"chr10"	33557991	33557992	94.2
"chr6"	30603231	30603232	80.5
"chr18"	55322682	55322683	2.7
"chr7"	152310436	152310437	96.9
"chr2"	63081997	63081998	96.1
"chr6"	82389522	82389523	91.6
"chr7"	127620336	127620337	53.2
"chr6"	91246646	91246647	79.4
"chr17"	81495150	81495151	96.2
"chr22"	23268722	23268723	91.9
"chr5"	14941990	14941991	78.3
"chr14"	43462614	43462615	86.3
"chr6"	31402634	31402635	4.9
"chr17"	18358184	18358185	95.7
"chr21"	46098735	46098736	3.5
"chr16"	17888583	17888584	37.3
"chr13"	56611291	56611292	96
"chr9"	93261910	93261911	16.8
"chr18"	48360273	48360274	87.4
"chr10"	99940567	99940568	85.1
"chr2"	8967008	8967009	89.2
"chr7"	156601973	156601974	73.7
"chr22"	31135170	31135171	68.9
"chr14"	51205478	51205479	94.3
"chr13"	53471793	53471794	8.5
"chr2"	22317628	22317629	62.3
"chr12"	69742922	69742923	61.7
"chr9"	30299583	30299584	96
"chr5"	77211017	77211018	2.7
"chr5"	2336800	2336801	69.3
"chr4"	161453718	161453719	46.5
"chr22"	33065456	33065457	3.8
"chr7"	40675681	40675682	45
"chr2"	237993175	237993176	95.4
"chr11"	123841773	123841774	81.5
"chr22"	28863614	28863615	96.2
"chr1"	97675267	97675268	20.4
"chr7"	135166700	135166701	83.1
"chr16"	84640725	84640726	96.2
"chr15"	75682342	75682343	90.9
"chr4"	21483316	21483317	88.9
"chr10"	42865578	42865579	94.6
"chr9"	98331479	98331480	52.3
"chr1"	209652503	209652504	94.7
"chr8"	131913273	131913274	5.4
"chr10"	28981114	28981115	15.2
"chr1"	161225342	161225343	96.4
"chr19"	2551433	2551434	95.4
"chr10"	13011515	13011516	72.6
"chr3"	25659079	25659080	37.5
"chr10"	81866603	81866604	40.5
"chr1"	54058716	54058717	97
"chrX"	154200418	154200419	96.4
"chr22"	37519564	37519565	3
"chrX"	100636449	100636450	57.5
"chr1"	12198501	12198502	95.7
"chr17"	45432626	45432627	3.3
"chr22"	11565816	11565817	4.6
"chr2"	239183501	239183502	96.9
"chr11"	76150541	76150542	42.9
"chr14"	76422302	76422303	81.9
"chr12"	6087506	6087507	88.6
"chr13"	95116689	95116690	97.4
"chr20"	38652492	38652493	39.6
"chr2"	14014660	14014661	3.7
"chr18"	2872440	2872441	79.7
"chr4"	166993587	166993588	4.7
"chr18"	45840934	45840935	96.4
"chr6"	27310562	27310563	91.5
"chr1"	145603239	145603240	92.4
"chr13"	100341539	100341540	94.8
"chr17"	28951088	28951089	2.9
"chr12"	67587729	67587730	94.8
"chr14"	30588636	30588637	95.2
"chr7"	117086726	117086727	95.8
"chr6"	166502733	166502734	62.7
"chr5"	21016605	21016606	96.3
"chr19"	17287073	17287074	96.4
"chr10"	83727039	83727040	90
"chr3"	161711225	161711226	93.8
"chr10"	121907450	121907451	96.9
"chr11"	119572117	119572118	96.2
"chrX"	18353998	18353999	2.4
"chrY"	15163715	15163716	40.9
"chr5"	27787207	27787208	41.7
"chr7"	5260001	5260002	97.6
"chr19"	27637144	27637145	79.4
"chr12"	46493580	46493581	5.3
"chr19"	57167286	57167287	95.3
"chr20"	45891492	45891493	3.1
"chr22"	40713304	40713305	96.7
"chr8"	138969147	138969148	5.4
"chr8"	143041030	143041031	70
"chr4"	71013022	71013023	95.1
"chr17"	70550782	70550783	51.7
"chr5"	138943075	138943076	95.9
"chr17"	35149548	35149549	75.6
"chr7"	58397150	58397151	62.8
"chr15"	73926212	73926213	45.4
"chr10"	61638242	61638243	94.8
"chrY"	12533161	12533162	96.2
"chr5"	74866776	74866777	4.7
"chr16"	17655546	17655547	6.3
"chr9"	19091247	19091248	96.3
"chr2"	127869110	127869111	96.6
"chr19"	11129668	11129669	85.9
"chr7"	72701731	72701732	96.4
"chr2"	236417148	236417149	84.1
"chr8"	42691812	42691813	96.7
"chr3"	101687518	101687519	96.4
"chr2"	113185825	113185826	96.8
"chr6"	108333237	108333238	95.9
"chr5"	146220334	146220335	96.6
"chr17"	28725988	28725989	2.9
"chr9"	93366146	93366147	13.1
"chr22"	39356881	39356882	75.6
"chr4"	19952668	19952669	77.7
"chr10"	49591864	49591865	6.3
"chr22"	29678122	29678123	96.8
"chr8"	101482807	101482808	96.2
"chr15"	29873907	29873908	4.9
"chrX"	34867859	34867860	23.8
"chr10"	28539134	28539135	93.9
"chrY"	17362214	17362215	5.4
"chr7"	94509538	94509539	3.4
"chr18"	56407274	56407275	95.3
"chr7"	784345	784346	86
"chr18"	6146214	6146215	96.7
"chr9"	126021160	126021161	95.6
"chr8"	78653632	78653633	89.6
"chr7"	54201104	54201105	72.2
"chr3"	165582288	165582289	51.1
"chr2"	109786241	109786242	52.3
"chr10"	103035950	103035951	95
"chr7"	106529798	106529799	95
"chr6"	150004893	150004894	3.6
"chr8"	36260985	36260986	90.7
"chr12"	121752423	121752424	96.3
"chr11"	85221190	85221191	93.6
"chr11"	83908482	83908483	58.3
"chr1"	7660675	7660676	90.7
"chrX"	40036692	40036693	96.4
"chr14"	48598681	48598682	58.5
"chr2"	200490189	200490190	95.7
"chr10"	16988066	16988067	56.8
"chr5"	57004533	57004534	61.1
"chr11"	80675098	80675099	5.9
"chr4"	46321121	46321122	94.8
"chr21"	30970774	30970775	38.7
"chr4"	161321186	161321187	3.2
"chr1"	26658797	26658798	92.2
"chr1"	216683704	216683705	5.3
"chr3"	110131093	110131094	38.2
"chr3"	19684991	19684992	75.2
"chr20"	53836967	53836968	96.5
"chr6"	27679529	27679530	3.6
"chr1"	56839369	56839370	58.2
"chr2"	191598035	191598036	91.5
"chr10"	112660392	112660393	93.8
"chr6"	158611437	158611438	96.7
"chr16"	31837770	31837771	48.7
"chr14"	102048818	102048819	96.1
"chr17"	38826731	38826732	95.7
"chrX"	83089548	83089549	12.7
"chrX"	73227567	73227568	92.6
"chr2"	165272815	165272816	95
"chr1"	113004152	113004153	95.7
"chr1"	155641267	155641268	96.6
"chr1"	55896651	55896652	5.3
"chr19"	19570370	19570371	97
"chr7"	158797650	158797651	94.9
"chr1"	71048031	71048032	3
"chr22"	17708046	17708047	22.1
"chr16"	47067307	47067308	97.2
"chr9"	12886731	12886732	7.5
"chr1"	223660744	223660745	96
"chr16"	87845696	87845697	96.3
"chr4"	184264371	184264372	3.7
"chr1"	245774663	245774664	97.4
"chr20"	46497413	46497414	96.3
"chr1"	86107619	86107620	68.5
"chr8"	40144665	40144666	90.5
"chr7"	149944601	149944602	92.6
"chr1"	35813130	35813131	94.3
"chr4"	46796405	46796406	55.7
"chr12"	48255637	48255638	92.7
"chr7"	114502783	114502784	51.2
"chr3"	185530010	185530011	96.9
"chr4"	183742051	183742052	38
"chr6"	41522478	41522479	91.7
"chr11"	117158832	117158833	52.2
"chr1"	3249500	3249501	27.3
"chr2"	92462896	92462897	52.3
"chr1"	37333486	37333487	23.5
"chr22"	21293164	21293165	6.1
"chr5"	28727432	28727433	96.5
"chr5"	32359677	32359678	97.4
"chr10"	67230826	67230827	3.7
"chr2"	169841875	169841876	95.9
"chrX"	8033641	8033642	95.7
"chr4"	185255035	185255036	74
"chr9"	137368536	137368537	88.7
"chr4"	137625457	137625458	95.8
"chr4"	95389473	95389474	43.3
"chr9"	130055511	130055512	96.6
"chr16"	35587635	35587636	12.2
"chr4"	21691986	21691987	9.7
"chr8"	86069748	86069749	3.1
"chr12"	104717568	104717569	96.4
"chr1"	1233513	1233514	96.6
"chr8"	130636671	130636672	44.5
"chr6"	128497918	128497919	69.9
"chr22"	31346108	31346109	2.4
"chr12"	51194027	51194028	90.7
"chr11"	131484477	131484478	83.3
"chr2"	158877609	158877610	64.2
"chr1"	50017103	50017104	90.7
"chr1"	202180568	202180569	93.1
"chrY"	4556071	4556072	29.5
"chr12"	100342700	100342701	86.8
"chrX"	33127122	33127123	40.8
"chrX"	94046019	94046020	95.8
"chr5"	146930789	146930790	93.7
"chr7"	35691829	35691830	47.8
"chr9"	28456694	28456695	24.3
"chr3"	10655992	10655993	18.4
"chr16"	46411494	46411495	94.8
"chr10"	116699874	116699875	69.2
"chr1"	36194448	36194449	97
"chr7"	62109025	62109026	93.3
"chr17"	3693330	3693331	9.3
"chr11"	130038784	130038785	95.3
"chr3"	37244508	37244509	4.6
"chr7"	60634014	60634015	9.3
"chr4"	631068	631069	53
"chr16"	63238095	63238096	94.9
"chr22"	39254039	39254040	89.5
"chr5"	180482714	180482715	95.7
"chr11"	131463839	131463840	22.4
"chr18"	17355422	17355423	60.8
"chr9"	99309252	99309253	80.6
"chr16"	62409059	62409060	78.8
"chr1"	231489997	231489998	97.4
"chr16"	52487202	52487203	71.9
"chr6"	359430	359431	82.6
"chr8"	36016629	36016630	95.8
"chr6"	63498020	63498021	94.7
"chr2"	47377605	47377606	55.2
"chr6"	88510052	88510053	94.9
"chr3"	102963201	102963202	86
"chr3"	53952276	53952277	5.8
"chr19"	49470716	49470717	5.2
"chr2"	128363216	128363217	80
"chr16"	68919265	68919266	97.3
"chr13"	21149548	21149549	96.2
"chr10"	95652923	95652924	96.7
"chr10"	16647206	16647207	96.4
"chr14"	50502407	50502408	81.2
"chr5"	73686677	73686678	97
"chr20"	35153850	35153851	95.7
"chr2"	182552611	182552612	96.3
"chr16"	65855846	65855847	48.5
"chr1"	68131947	68131948	64.4
"chr1"	15227092	15227093	94.8
"chr12"	2795033	2795034	3.8
"chr9"	43785652	43785653	79.8
"chr3"	65957414	65957415	96.4
"chr18"	29110755	29110756	50.5
"chr11"	43835652	43835653	97.1
"chr1"	231418192	231418193	68.2
"chr7"	12200037	12200038	88.4
"chr4"	88591137	88591138	97
"chr10"	34036639	34036640	96.8
"chr9"	65916877	65916878	83.5
"chr17"	74885035	74885036	86.9
"chr11"	72081544	72081545	96.8
"chr5"	83760894	83760895	95.6
"chr3"	194566138	194566139	59.8
"chr19"	23379891	23379892	93.3
"chr3"	95538504	95538505	49.9
"chr19"	41976872	41976873	95.9
"chr9"	69060093	69060094	96.1
"chr2"	1165960	1165961	63.6
"chr1"	220805080	220805081	31.7
"chr16"	21890284	21890285	96.3
"chrX"	129410641	129410642	92
"chr2"	130446345	130446346	74.7
"chrX"	61136282	61136283	54.6
"chr7"	75477047	75477048	97.2
"chr8"	117426581	117426582	95.9
"chr8"	139803772	139803773	96.1
"chr14"	69084455	69084456	96.7
"chr7"	10741989	10741990	88.9
"chr3"	129377050	129377051	95.4
"chr22"	24129094	24129095	30.3
"chr3"	105459841	105459842	92.6
"chr15"	86338780	86338781	42.4
"chr12"	53190138	53190139	77.3
"chr16"	37010259	37010260	61.6
"chr8"	24216825	24216826	79.2
"chr15"	50650062	50650063	97.1
"chr2"	213548312	213548313	90.9
"chr10"	42861732	42861733	3.1
"chr9"	83160025	83160026	63.8
"chr10"	102418773	102418774	46
"chr7"	64115619	64115620	49.9
"chr2"	48985395	48985396	95.6
"chr16"	5097399	5097400	3
"chr13"	109792594	109792595	89.2
"chr16"	58050159	58050160	42.9
"chr13"	101826920	101826921	47.3
"chr21"	42780405	42780406	57.9
"chr7"	78362626	78362627	96.1
"chr16"	46941231	46941232	96
"chr19"	3759098	3759099	39.3
"chr6"	17174590	17174591	96.9
"chr1"	237822440	237822441	96.6
"chr8"	104806124	104806125	91.7
"chr11"	100848588	100848589	94.7
"chr2"	138131724	138131725	37.5
"chr6"	1600908	1600909	3.9
"chr10"	68022354	68022355	96.8
"chr4"	158038040	158038041	58.7
"chr19"	58033521	58033522	37.8
"chr13"	67391123	67391124	95.2
"chr3"	190392593	190392594	95.4
"chr17"	47908845	47908846	96.6
"chr2"	216894	216895	91.2
"chr18"	37362411	37362412	4.3
"chr19"	38289415	38289416	39.6
"chr13"	99000016	99000017	58.5
"chr14"	34795950	34795951	96.8
"chr14"	58110339	58110340	30.5
"chr10"	133668476	133668477	47.2
"chr1"	211698170	211698171	85.4
"chr6"	50510143	50510144	9.6
"chr2"	91809939	91809940	4
"chrX"	151775721	151775722	2.8
"chr12"	131997492	131997493	96.1
"chr11"	123618192	123618193	50.6
"chr7"	36759579	36759580	88.8
"chr10"	23192989	23192990	14
"chr8"	17732510	17732511	50.7
"chr17"	73773491	73773492	57.7
"chr8"	54101651	54101652	3
"chr6"	88469794	88469795	58.3
"chr9"	136227739	136227740	96.6
"chr1"	92608097	92608098	95.7
"chr4"	6057227	6057228	81
"chr5"	173594958	173594959	95.7
"chr8"	64761646	64761647	89.4
"chr4"	135774787	135774788	96.6
"chr9"	37699033	37699034	90.6
"chr12"	10039193	10039194	71.7
"chr15"	34958063	34958064	95.7
"chrX"	31634116	31634117	43.4
"chr2"	72421855	72421856	95.9
"chr15"	64278188	64278189	96.8
"chr15"	44733518	44733519	87
"chr6"	79098964	79098965	50.1
"chr1"	47122347	47122348	29.1
"chr14"	39595823	39595824	92.2
"chr4"	2802347	2802348	63.9
"chr5"	3751207	3751208	62.7
"chr8"	63256522	63256523	76.7
"chr8"	138775615	138775616	4.3
"chr2"	239157093	239157094	71.7
"chr7"	73351400	73351401	87.1
"chr8"	42312180	42312181	95.3
"chr4"	54184573	54184574	5
"chr11"	76646077	76646078	93
"chr11"	62841307	62841308	3.4
"chr13"	34887365	34887366	17
"chr16"	19099473	19099474	95.9
"chr6"	122647395	122647396	93.2
"chr4"	1839197	1839198	83.5
"chr11"	116488897	116488898	13.9
"chr1"	90571937	90571938	94.9
"chr3"	190348185	190348186	96.4
"chr20"	4823628	4823629	3.5
"chr2"	70129508	70129509	95.8
"chr12"	68687748	68687749	37.4
"chr1"	16637590	16637591	96.2
"chr7"	149939065	149939066	80.9
"chr20"	42690923	42690924	95.7
"chrX"	20393198	20393199	94.7
"chr5"	170939227	170939228	51.3
"chr20"	2328183	2328184	95
"chr3"	129310796	129310797	95.3
"chr1"	946625	946626	96.1
"chr4"	166146395	166146396	84
"chr21"	42783983	42783984	5
"chr2"	135272647	135272648	96.4
"chr14"	36581455	36581456	3
"chr16"	20147938	20147939	84
"chr14"	99505940	99505941	95.6
"chrX"	107156017	107156018	4.4
"chr8"	94764499	94764500	95.9
"chrY"	25067361	25067362	71.5
"chr12"	80021675	80021676	94.3
"chr6"	37637534	37637535	92.7
"chr6"	110936916	110936917	77.3
"chr1"	220768100	220768101	31.1
"chr8"	79400294	79400295	92.1
"chr20"	2199324	2199325	62.6
"chr1"	97958913	97958914	52.9
"chr5"	127229138	127229139	6.3
"chr20"	31632976	31632977	93.8
"chr10"	106588531	106588532	96.8
"chr7"	57447385	57447386	6.2
"chr13"	25243107	25243108	88.9
"chr14"	91688889	91688890	40.4
"chr4"	188865603	188865604	67.6
"chr13"	93068954	93068955	94.7
"chr3"	18902179	18902180	32.4
"chr19"	14943615	14943616	36.3
"chr2"	76241433	76241434	6.3
"chr18"	22198554	22198555	95.9
"chr7"	2870574	2870575	3
"chr2"	230198563	230198564	97.7
"chr15"	87163022	87163023	80.2
"chr3"	83332202	83332203	91.2
"chr20"	15077855	15077856	41.8
"chr5"	91313578	91313579	96.6
"chr13"	24253996	24253997	67
"chr13"	105510297	105510298	16.1
"chr17"	82809449	82809450	96.3
"chr7"	45058777	45058778	96.4
"chr12"	40026147	40026148	52
"chr10"	24738609	24738610	61.6
"chr9"	115648835	115648836	5.6
"chr9"	81944825	81944826	82.9
"chr9"	16978830	16978831	95.4
"chr6"	44845925	44845926	88.4
"chr13"	32959382	32959383	22.7
"chr6"	62466267	62466268	28.5
"chr13"	16295101	16295102	46.8
"chr17"	77014795	77014796	37.5
"chr10"	58536950	58536951	66.5
"chr11"	71555746	71555747	94.3
"chr2"	199781031	199781032	96.9
"chr18"	31089520	31089521	55.5
"chr19"	10294265	10294266	3.7
"chr9"	130485527	130485528	56.6
"chr13"	92916778	92916779	88.5
"chr3"	145791117	145791118	5.3
"chr19"	48687507	48687508	51.6
"chr8"	104308817	104308818	57.7
"chr12"	53739522	53739523	4.1
"chr7"	155769433	155769434	96.2
"chr11"	35500592	35500593	77.6
"chr16"	51696769	51696770	77.1
"chr9"	110949843	110949844	72.4
"chr18"	74011522	74011523	86.9
"chr11"	18424499	18424500	91.4
"chr15"	59700965	59700966	92.6
"chr17"	59155970	59155971	3.8
"chr16"	49776693	49776694	42.2
"chr19"	46976760	46976761	96.5
"chr1"	55050665	55050666	3.3
"chrX"	64897558	64897559	83.2
"chr22"	20688789	20688790	93.5
"chr11"	51527217	51527218	49.1
"chr16"	6769933	6769934	8.2
"chr12"	130956487	130956488	67.8
"chr2"	137029146	137029147	32.5
"chr12"	128928267	128928268	64.9
"chr8"	73230333	73230334	93
"chr11"	132161945	132161946	96.2
"chr1"	86508866	86508867	6
"chr2"	41795041	41795042	29.5
"chr1"	104496786	104496787	20.7
"chr2"	70935631	70935632	9
"chr3"	88225200	88225201	88.6
"chr4"	54473807	54473808	73.4
"chr7"	157737723	157737724	38.7
"chr20"	63644216	63644217	96.9
"chr20"	9478965	9478966	60.1
"chr11"	113922843	113922844	96.6
"chr5"	91750405	91750406	93.8
"chr13"	78260550	78260551	92.3
"chr13"	97826851	97826852	26.6
"chr4"	117008536	117008537	90.6
"chr12"	131036756	131036757	88.6
"chr13"	40232844	40232845	53.9
"chr14"	82964255	82964256	57.9
"chrX"	94816751	94816752	13
"chrX"	109016375	109016376	79.9
"chr3"	4772926	4772927	95.7
"chr11"	115989310	115989311	96.7
"chr1"	95148044	95148045	9.8
"chrX"	55157377	55157378	96.3
"chr17"	80199114	80199115	57.2
"chr12"	129856293	129856294	61.5
"chr2"	42147673	42147674	95.8
"chr7"	120891107	120891108	85
"chr4"	40288547	40288548	3
"chr4"	18698931	18698932	53.9
"chr20"	42771587	42771588	4.9
"chr5"	132440300	132440301	95.6
"chr5"	168669369	168669370	10.9
"chr1"	165356797	165356798	2.8
"chr4"	55536111	55536112	96.2
"chr8"	143541498	143541499	3.2
"chrX"	2851431	2851432	96.4
"chr1"	110325501	110325502	96.3
"chrX"	113339762	113339763	6.3
"chr2"	223617580	223617581	53.3
"chr4"	9793163	9793164	51.8
"chr11"	92885065	92885066	68.9
"chr8"	101747936	101747937	97.2
"chr12"	121109361	121109362	96.5
"chr6"	112911650	112911651	96.4
"chr16"	83903088	83903089	96.3
"chr9"	135295374	135295375	88.6
"chr3"	124958737	124958738	81
"chr1"	148062567	148062568	57.8
"chr6"	22461060	22461061	93.7
"chr11"	9748052	9748053	87.5
"chr16"	69598343	69598344	95.3
"chr6"	86694756	86694757	93.1
"chr7"	2528531	2528532	2.9
"chr11"	28074619	28074620	96.7
"chr8"	22281288	22281289	2.3
"chr19"	2057610	2057611	48.7
"chr1"	2338461	2338462	92.5
"chr1"	164739426	164739427	42.5
"chr16"	36092383	36092384	18.5
"chr10"	43920653	43920654	79.7
"chr19"	33727332	33727333	42.7
"chr2"	170929086	170929087	3.5
"chr6"	43504531	43504532	81.9
"chr1"	76782628	76782629	17.9
"chrX"	114582804	114582805	12.9
"chr20"	46548665	46548666	93.9
"chr3"	17155495	17155496	94.8
"chr12"	22713876	22713877	75.1
"chr8"	8786601	8786602	96.7
"chr20"	37796086	37796087	96.9
"chr9"	79474561	79474562	91.6
"chr1"	58648384	58648385	95.9
"chr5"	63637149	63637150	89.3
"chr1"	16272335	16272336	95.8
"chr8"	2531804	2531805	45.1
"chr11"	21671440	21671441	76.3
"chr8"	1204036	1204037	63
"chr3"	11948230	11948231	6.5
"chr10"	130163369	130163370	95.6
"chr7"	144523245	144523246	95.1
"chr19"	13459691	13459692	96.6
"chrX"	119098935	119098936	96.3
"chr3"	128533208	128533209	88.2
"chr16"	51050726	51050727	31.2
"chr3"	37977022	37977023	76.2
"chr16"	25043794	25043795	94.8
"chr5"	125792126	125792127	8.4
"chr15"	77635154	77635155	3
"chr2"	207427777	207427778	95
"chr9"	83921275	83921276	2.9
"chr4"	188752446	188752447	85.1
"chr18"	55347565	55347566	95.4
"chrX"	146319269	146319270	37.1
"chr5"	73300791	73300792	3.6
"chr2"	222184041	222184042	38.6
"chr1"	9983929	9983930	95.3
"chr1"	240509470	240509471	3.8
"chr2"	228825170	228825171	72.9
"chr18"	9914752	9914753	3.5
"chr13"	114197826	114197827	55.5
"chr1"	29111451	29111452	92.5
"chr5"	180556113	180556114	92.5
"chr7"	7839609	7839610	96.5
"chr4"	5241842	5241843	95.6
"chr9"	11923399	11923400	3.3
"chr4"	182411723	182411724	50.6
"chr16"	11674124	11674125	94.3
"chr1"	232989235	232989236	96.4
"chr1"	99237997	99237998	94.8
"chr8"	23342469	23342470	96.2
"chr19"	786547	786548	80.4
"chr6"	41367273	41367274	95
"chr5"	10649807	10649808	95.3
"chr17"	1072537	1072538	95.7
"chr16"	28788377	28788378	96.1
"chr15"	88256772	88256773	3.4
"chr3"	105057911	105057912	93.7
"chr2"	239747024	239747025	67.2
"chr12"	20812152	20812153	73.2
"chr16"	36122198	36122199	38.6
"chr2"	113399982	113399983	95.8
"chr5"	58563652	58563653	96.6
"chr15"	21723089	21723090	61
"chr5"	66630424	66630425	56.2
"chr14"	55363135	55363136	96.8
"chr12"	80574313	80574314	4.3
"chr5"	178384293	178384294	11.5
"chr12"	50734876	50734877	90.8
"chr1"	47219742	47219743	96.1
"chr8"	33641715	33641716	34.4
"chr3"	180605515	180605516	97.1
"chr7"	63111756	63111757	25.6
"chr22"	43930114	43930115	52.5
"chr18"	58338730	58338731	96
"chr20"	39493262	39493263	85
"chr10"	104035217	104035218	95.9
"chr6"	148145399	148145400	6.5
"chr2"	33387104	33387105	94.9
"chrX"	53589577	53589578	65.1
"chr8"	138031135	138031136	95.6
"chr7"	64968184	64968185	45.9
"chr19"	50028253	50028254	96.6
"chr10"	30564996	30564997	4.6
"chr17"	50804976	50804977	92.6
"chr2"	140572394	140572395	58.2
"chr9"	134260631	134260632	95.2
"chr4"	119628860	119628861	3.1
"chr21"	25811947	25811948	96.6
"chr16"	31450521	31450522	94.4
"chr14"	92018783	92018784	97.3
"chr1"	241368076	241368077	34.1
"chr10"	112001915	112001916	65.5
"chr19"	45721132	45721133	95.6
"chr7"	55964905	55964906	4.6
"chr1"	212228679	212228680	97.6
"chr20"	27790190	27790191	61.2
"chr12"	128742280	128742281	95.4
"chr12"	99058277	99058278	73.8
"chr18"	20839221	20839222	69.2
"chr16"	87550178	87550179	93.5
"chr3"	140654653	140654654	16.4
"chr21"	39376387	39376388	93.8
"chr7"	56913361	56913362	62.5
"chr3"	106035892	106035893	95.7
"chr1"	171663030	171663031	11.8
"chr7"	30620057	30620058	93.8
"chr20"	61676156	61676157	75.8
"chr11"	17274783	17274784	83.8
"chr16"	53800235	53800236	94.7
"chr4"	3190278	3190279	97
"chr1"	153834224	153834225	96.6
"chr21"	42495974	42495975	3.5
"chr20"	62707491	62707492	3.6
"chr1"	200659929	200659930	95.2
"chr11"	74353874	74353875	86.8
"chr8"	83280992	83280993	25.5
"chrX"	135424802	135424803	96.5
"chr1"	7705308	7705309	3.3
"chr12"	68442342	68442343	5.5
"chr12"	56525746	56525747	96.4
"chrX"	127236530	127236531	4.7
"chr6"	3073310	3073311	48.8
"chr20"	47455486	47455487	96.6
"chr6"	120798181	120798182	18.3
"chr6"	18523102	18523103	90.3
"chr14"	29351796	29351797	94.2
"chr11"	134574237	134574238	50
"chr3"	177429198	177429199	96
"chr9"	130163470	130163471	94
"chr16"	1791494	1791495	96.5
"chr17"	47789700	47789701	3.8
"chr19"	16573052	16573053	2.8
"chr9"	63817368	63817369	69
"chr8"	11591392	11591393	96.9
"chr3"	49803707	49803708	3.5
"chr14"	102066177	102066178	28.5
"chr6"	63101126	63101127	92.9
"chr4"	105629828	105629829	83
"chr15"	90340536	90340537	94.1
"chr19"	14940468	14940469	95.3
"chr5"	142907977	142907978	93.5
"chr18"	16672187	16672188	93.3
"chr5"	132435501	132435502	65.9
"chr2"	112400387	112400388	95.1
"chr16"	69739364	69739365	96.8
"chr12"	117476887	117476888	19.9
"chr9"	22565779	22565780	33.5
"chr7"	137407571	137407572	93
"chr19"	48398295	48398296	3.3
"chr10"	74151401	74151402	24.2
"chr12"	10927857	10927858	96.1
"chr10"	24591815	24591816	96.1
"chr17"	64742700	64742701	95.8
"chr9"	105283020	105283021	94.9
"chr4"	4542927	4542928	4.6
"chr6"	11602349	11602350	86.3
"chr2"	164613054	164613055	62.9
"chr12"	124565497	124565498	20
"chr2"	109396094	109396095	78.9
"chr17"	33207680	33207681	59.1
"chr1"	23568123	23568124	3.3
"chr3"	190536320	190536321	20.9
"chr11"	102081622	102081623	41.3
"chr12"	86931030	86931031	62
"chr2"	153486418	153486419	90
"chr9"	137425082	137425083	2.9
"chr9"	66263407	66263408	92.8
"chr3"	194054006	194054007	96.6
"chr16"	71432043	71432044	82.3
"chr2"	119634458	119634459	60.8
"chr11"	5225713	5225714	27.7
"chr19"	1592366	1592367	3.1
"chr9"	134482540	134482541	90.4
"chr3"	162381539	162381540	81.5
"chr10"	124612815	124612816	3.2
"chr17"	14638571	14638572	4.7
"chr17"	60616578	60616579	94.7
"chr3"	56594574	56594575	96.1
"chr16"	68293409	68293410	95
"chr6"	95486875	95486876	97
"chr20"	12945419	12945420	8.8
"chr7"	134171620	134171621	66
"chr3"	120579066	120579067	95.3
"chr9"	128181603	128181604	96.9
"chr2"	154783043	154783044	62.3
"chr13"	76643935	76643936	27.9
"chr6"	75029323	75029324	50.3
"chr12"	109681210	109681211	92.9
"chr10"	49747812	49747813	97.3
"chr6"	57316807	57316808	2.9
"chr10"	11381311	11381312	95.9
"chr3"	192683051	192683052	79.1
"chr15"	41253126	41253127	81.2
"chr19"	50297526	50297527	44
"chr10"	70783490	70783491	3.4
"chr5"	30215258	30215259	73.3
"chr22"	41503474	41503475	96.4
"chr20"	9987756	9987757	69.9
"chr2"	120669474	120669475	4.2
"chr10"	101216225	101216226	4.9
"chr15"	90303220	90303221	95.9
"chr16"	5186673	5186674	95.3
"chr10"	40805090	40805091	83.2
"chr5"	141651509	141651510	10.3
"chr11"	130625754	130625755	85.9
"chrX"	73154729	73154730	26.3
"chr1"	184387089	184387090	3.7
"chr3"	127427064	127427065	58.8
"chr12"	123414172	123414173	91.6
"chr12"	125415911	125415912	92.6
"chr7"	124841224	124841225	96.8
"chr12"	132357196	132357197	53.9
"chr7"	6742414	6742415	97.2
"chr19"	31744694	31744695	93.7
"chr20"	25456102	25456103	94.7
"chr2"	113250122	113250123	92
"chr6"	157384824	157384825	97
